Patient	Protocol_1	Protocol_2	bcdist
D09	ZR	OF	0.109405697
D09	ZR	OF	0.200860339
D09	ZR	OF	0.115094103
D09	ZR	OH	0.102889587
D09	ZR	OH	0.130502275
D09	ZR	OH	0.118716116
D09	ZR	OR	0.085084016
D09	ZR	OR	0.098798529
D09	ZR	OR	0.08381056
D09	ZR	ZF	0.137416268
D09	ZR	ZF	0.124232117
D09	ZR	ZF	0.083462355
D09	ZR	ZH	0.08145497
D09	ZR	ZH	0.075132491
D09	ZR	ZH	0.135347246
D09	ZR	ZR	0.12152712
D09	ZR	ZR	0.090359056
D10	NF	NF	0.137338638
D10	NF	NF	0.058185461
D10	NF	OF	0.283712064
D10	NF	OF	0.138940305
D10	NF	OF	0.184985528
D10	NF	OH	0.124981839
D10	NF	OH	0.205274003
D10	NF	OH	0.233036444
D10	NF	OR	0.201909575
D10	NF	OR	0.236518487
D10	NF	OR	0.186889795
D10	NF	ZF	0.212397265
D10	NF	ZF	0.161186638
D10	NF	ZF	0.076808741
D10	NF	ZH	0.304276257
D10	NF	ZH	0.281328839
D10	NF	ZH	0.30386233
D10	NF	ZR	0.201398939
D10	NF	ZR	0.293949003
D10	NF	ZR	0.185469971
D10	NF	NF	0.137338638
D10	NF	NF	0.090380472
D10	NF	OF	0.176426174
D10	NF	OF	0.06307137
D10	NF	OF	0.101252182
D10	NF	OH	0.066354628
D10	NF	OH	0.101881579
D10	NF	OH	0.129488434
D10	NF	OR	0.116655136
D10	NF	OR	0.136955704
D10	NF	OR	0.110514134
D10	NF	ZF	0.131228351
D10	NF	ZF	0.10051148
D10	NF	ZF	0.115979021
D10	NF	ZH	0.178285148
D10	NF	ZH	0.159105819
D10	NF	ZH	0.180802607
D10	NF	ZR	0.096178912
D10	NF	ZR	0.189112976
D10	NF	ZR	0.096324623
D10	NF	NF	0.058185461
D10	NF	NF	0.090380472
D10	NF	OF	0.232795054
D10	NF	OF	0.084989402
D10	NF	OF	0.132342756
D10	NF	OH	0.072422479
D10	NF	OH	0.153846336
D10	NF	OH	0.181511272
D10	NF	OR	0.14954559
D10	NF	OR	0.184485134
D10	NF	OR	0.134296839
D10	NF	ZF	0.15908344
D10	NF	ZF	0.106287895
D10	NF	ZF	0.05981024
D10	NF	ZH	0.254115047
D10	NF	ZH	0.23084205
D10	NF	ZH	0.253372643
D10	NF	ZR	0.149513193
D10	NF	ZR	0.242501513
D10	NF	ZR	0.132017765
D10	OF	NF	0.283712064
D10	OF	NF	0.176426174
D10	OF	NF	0.232795054
D10	OF	OF	0.15551079
D10	OF	OF	0.101997526
D10	OF	OH	0.168369697
D10	OF	OH	0.087246172
D10	OF	OH	0.063087919
D10	OF	OR	0.100652985
D10	OF	OR	0.068665189
D10	OF	OR	0.107373402
D10	OF	ZF	0.08737755
D10	OF	ZF	0.133573783
D10	OF	ZF	0.249612141
D10	OF	ZH	0.086070764
D10	OF	ZH	0.076203036
D10	OF	ZH	0.080121211
D10	OF	ZR	0.095414311
D10	OF	ZR	0.037824724
D10	OF	ZR	0.115817244
D10	OF	NF	0.138940305
D10	OF	NF	0.06307137
D10	OF	NF	0.084989402
D10	OF	OF	0.15551079
D10	OF	OF	0.057809626
D10	OF	OH	0.037579865
D10	OF	OH	0.074632327
D10	OF	OH	0.101252209
D10	OF	OR	0.070901545
D10	OF	OR	0.104791782
D10	OF	OR	0.061250495
D10	OF	ZF	0.087148804
D10	OF	ZF	0.057656511
D10	OF	ZF	0.106580694
D10	OF	ZH	0.178185067
D10	OF	ZH	0.153561444
D10	OF	ZH	0.176423416
D10	OF	ZR	0.073052586
D10	OF	ZR	0.166588628
D10	OF	ZR	0.063965211
D10	OF	NF	0.184985528
D10	OF	NF	0.101252182
D10	OF	NF	0.132342756
D10	OF	OF	0.101997526
D10	OF	OF	0.057809626
D10	OF	OH	0.073901044
D10	OF	OH	0.036628004
D10	OF	OH	0.062272736
D10	OF	OR	0.038019444
D10	OF	OR	0.064333816
D10	OF	OR	0.02023877
D10	OF	ZF	0.045387313
D10	OF	ZF	0.053247705
D10	OF	ZF	0.149741841
D10	OF	ZH	0.146386732
D10	OF	ZH	0.118400757
D10	OF	ZH	0.143994571
D10	OF	ZR	0.036627473
D10	OF	ZR	0.11603303
D10	OF	ZR	0.046273516
D10	OH	NF	0.124981839
D10	OH	NF	0.066354628
D10	OH	NF	0.072422479
D10	OH	OF	0.168369697
D10	OH	OF	0.037579865
D10	OH	OF	0.073901044
D10	OH	OH	0.084017707
D10	OH	OH	0.111514153
D10	OH	OR	0.087068165
D10	OH	OR	0.120355454
D10	OH	OR	0.076346057
D10	OH	ZF	0.097427215
D10	OH	ZF	0.054230355
D10	OH	ZF	0.093767683
D10	OH	ZH	0.19225138
D10	OH	ZH	0.165555535
D10	OH	ZH	0.189302634
D10	OH	ZR	0.08369944
D10	OH	ZR	0.179600775
D10	OH	ZR	0.069193719
D10	OH	NF	0.205274003
D10	OH	NF	0.101881579
D10	OH	NF	0.153846336
D10	OH	OF	0.087246172
D10	OH	OF	0.074632327
D10	OH	OF	0.036628004
D10	OH	OH	0.084017707
D10	OH	OH	0.033458336
D10	OH	OR	0.030872046
D10	OH	OR	0.046996439
D10	OH	OR	0.041189156
D10	OH	ZF	0.040442487
D10	OH	ZF	0.062969033
D10	OH	ZF	0.169473972
D10	OH	ZH	0.118021222
D10	OH	ZH	0.090065467
D10	OH	ZH	0.115687445
D10	OH	ZR	0.025175487
D10	OH	ZR	0.099751576
D10	OH	ZR	0.045702551
D10	OH	NF	0.233036444
D10	OH	NF	0.129488434
D10	OH	NF	0.181511272
D10	OH	OF	0.063087919
D10	OH	OF	0.101252209
D10	OH	OF	0.062272736
D10	OH	OH	0.111514153
D10	OH	OH	0.033458336
D10	OH	OR	0.055234971
D10	OH	OR	0.035077279
D10	OH	OR	0.064393188
D10	OH	ZF	0.046823464
D10	OH	ZF	0.088651386
D10	OH	ZF	0.198568937
D10	OH	ZH	0.09679831
D10	OH	ZH	0.068842091
D10	OH	ZH	0.094425242
D10	OH	ZR	0.044875606
D10	OH	ZR	0.075190603
D10	OH	ZR	0.072264547
D10	OR	NF	0.201909575
D10	OR	NF	0.116655136
D10	OR	NF	0.14954559
D10	OR	OF	0.100652985
D10	OR	OF	0.070901545
D10	OR	OF	0.038019444
D10	OR	OH	0.087068165
D10	OR	OH	0.030872046
D10	OR	OH	0.055234971
D10	OR	OR	0.03620233
D10	OR	OR	0.025382502
D10	OR	ZF	0.039465293
D10	OR	ZF	0.064849963
D10	OR	ZF	0.167647894
D10	OR	ZH	0.127333031
D10	OR	ZH	0.101459022
D10	OR	ZH	0.12497067
D10	OR	ZR	0.0454127
D10	OR	ZR	0.109669527
D10	OR	ZR	0.04998889
D10	OR	NF	0.236518487
D10	OR	NF	0.136955704
D10	OR	NF	0.184485134
D10	OR	OF	0.068665189
D10	OR	OF	0.104791782
D10	OR	OF	0.064333816
D10	OR	OH	0.120355454
D10	OR	OH	0.046996439
D10	OR	OH	0.035077279
D10	OR	OR	0.03620233
D10	OR	OR	0.055036983
D10	OR	ZF	0.048711476
D10	OR	ZF	0.090916881
D10	OR	ZF	0.202506452
D10	OR	ZH	0.100018304
D10	OR	ZH	0.0730534
D10	OR	ZH	0.097543577
D10	OR	ZR	0.063742422
D10	OR	ZR	0.079854659
D10	OR	ZR	0.075614627
D10	OR	NF	0.186889795
D10	OR	NF	0.110514134
D10	OR	NF	0.134296839
D10	OR	OF	0.107373402
D10	OR	OF	0.061250495
D10	OR	OF	0.02023877
D10	OR	OH	0.076346057
D10	OR	OH	0.041189156
D10	OR	OH	0.064393188
D10	OR	OR	0.025382502
D10	OR	OR	0.055036983
D10	OR	ZF	0.045091057
D10	OR	ZF	0.057040219
D10	OR	ZF	0.153234135
D10	OR	ZH	0.144300254
D10	OR	ZH	0.117182657
D10	OR	ZH	0.141920833
D10	OR	ZR	0.04562155
D10	OR	ZR	0.117787339
D10	OR	ZR	0.048665675
D10	ZF	NF	0.212397265
D10	ZF	NF	0.131228351
D10	ZF	NF	0.15908344
D10	ZF	OF	0.08737755
D10	ZF	OF	0.087148804
D10	ZF	OF	0.045387313
D10	ZF	OH	0.097427215
D10	ZF	OH	0.040442487
D10	ZF	OH	0.046823464
D10	ZF	OR	0.039465293
D10	ZF	OR	0.048711476
D10	ZF	OR	0.045091057
D10	ZF	ZF	0.061464751
D10	ZF	ZF	0.176688835
D10	ZF	ZH	0.117411222
D10	ZF	ZH	0.092524091
D10	ZF	ZH	0.114265685
D10	ZF	ZR	0.048272312
D10	ZF	ZR	0.090180496
D10	ZF	ZR	0.046627533
D10	ZF	NF	0.161186638
D10	ZF	NF	0.10051148
D10	ZF	NF	0.106287895
D10	ZF	OF	0.133573783
D10	ZF	OF	0.057656511
D10	ZF	OF	0.053247705
D10	ZF	OH	0.054230355
D10	ZF	OH	0.062969033
D10	ZF	OH	0.088651386
D10	ZF	OR	0.064849963
D10	ZF	OR	0.090916881
D10	ZF	OR	0.057040219
D10	ZF	ZF	0.061464751
D10	ZF	ZF	0.12076726
D10	ZF	ZH	0.15756179
D10	ZF	ZH	0.13221844
D10	ZF	ZH	0.155916825
D10	ZF	ZR	0.061397185
D10	ZF	ZR	0.138875751
D10	ZF	ZR	0.032002622
D10	ZF	NF	0.076808741
D10	ZF	NF	0.115979021
D10	ZF	NF	0.05981024
D10	ZF	OF	0.249612141
D10	ZF	OF	0.106580694
D10	ZF	OF	0.149741841
D10	ZF	OH	0.093767683
D10	ZF	OH	0.169473972
D10	ZF	OH	0.198568937
D10	ZF	OR	0.167647894
D10	ZF	OR	0.202506452
D10	ZF	OR	0.153234135
D10	ZF	ZF	0.176688835
D10	ZF	ZF	0.12076726
D10	ZF	ZH	0.262886994
D10	ZF	ZH	0.240358256
D10	ZF	ZH	0.254855116
D10	ZF	ZR	0.163077668
D10	ZF	ZR	0.248632173
D10	ZF	ZR	0.14332459
D10	ZH	NF	0.304276257
D10	ZH	NF	0.178285148
D10	ZH	NF	0.254115047
D10	ZH	OF	0.086070764
D10	ZH	OF	0.178185067
D10	ZH	OF	0.146386732
D10	ZH	OH	0.19225138
D10	ZH	OH	0.118021222
D10	ZH	OH	0.09679831
D10	ZH	OR	0.127333031
D10	ZH	OR	0.100018304
D10	ZH	OR	0.144300254
D10	ZH	ZF	0.117411222
D10	ZH	ZF	0.15756179
D10	ZH	ZF	0.262886994
D10	ZH	ZH	0.034780093
D10	ZH	ZH	0.015560947
D10	ZH	ZR	0.117980464
D10	ZH	ZR	0.070798983
D10	ZH	ZR	0.129449694
D10	ZH	NF	0.281328839
D10	ZH	NF	0.159105819
D10	ZH	NF	0.23084205
D10	ZH	OF	0.076203036
D10	ZH	OF	0.153561444
D10	ZH	OF	0.118400757
D10	ZH	OH	0.165555535
D10	ZH	OH	0.090065467
D10	ZH	OH	0.068842091
D10	ZH	OR	0.101459022
D10	ZH	OR	0.0730534
D10	ZH	OR	0.117182657
D10	ZH	ZF	0.092524091
D10	ZH	ZF	0.13221844
D10	ZH	ZF	0.240358256
D10	ZH	ZH	0.034780093
D10	ZH	ZH	0.034538237
D10	ZH	ZR	0.091553406
D10	ZH	ZR	0.0756033
D10	ZH	ZR	0.10363982
D10	ZH	NF	0.30386233
D10	ZH	NF	0.180802607
D10	ZH	NF	0.253372643
D10	ZH	OF	0.080121211
D10	ZH	OF	0.176423416
D10	ZH	OF	0.143994571
D10	ZH	OH	0.189302634
D10	ZH	OH	0.115687445
D10	ZH	OH	0.094425242
D10	ZH	OR	0.12497067
D10	ZH	OR	0.097543577
D10	ZH	OR	0.141920833
D10	ZH	ZF	0.114265685
D10	ZH	ZF	0.155916825
D10	ZH	ZF	0.254855116
D10	ZH	ZH	0.015560947
D10	ZH	ZH	0.034538237
D10	ZH	ZR	0.116155065
D10	ZH	ZR	0.065104058
D10	ZH	ZR	0.127778033
D10	ZR	NF	0.201398939
D10	ZR	NF	0.096178912
D10	ZR	NF	0.149513193
D10	ZR	OF	0.095414311
D10	ZR	OF	0.073052586
D10	ZR	OF	0.036627473
D10	ZR	OH	0.08369944
D10	ZR	OH	0.025175487
D10	ZR	OH	0.044875606
D10	ZR	OR	0.0454127
D10	ZR	OR	0.063742422
D10	ZR	OR	0.04562155
D10	ZR	ZF	0.048272312
D10	ZR	ZF	0.061397185
D10	ZR	ZF	0.163077668
D10	ZR	ZH	0.117980464
D10	ZR	ZH	0.091553406
D10	ZR	ZH	0.116155065
D10	ZR	ZR	0.099796025
D10	ZR	ZR	0.040279456
D10	ZR	NF	0.293949003
D10	ZR	NF	0.189112976
D10	ZR	NF	0.242501513
D10	ZR	OF	0.037824724
D10	ZR	OF	0.166588628
D10	ZR	OF	0.11603303
D10	ZR	OH	0.179600775
D10	ZR	OH	0.099751576
D10	ZR	OH	0.075190603
D10	ZR	OR	0.109669527
D10	ZR	OR	0.079854659
D10	ZR	OR	0.117787339
D10	ZR	ZF	0.090180496
D10	ZR	ZF	0.138875751
D10	ZR	ZF	0.248632173
D10	ZR	ZH	0.070798983
D10	ZR	ZH	0.0756033
D10	ZR	ZH	0.065104058
D10	ZR	ZR	0.099796025
D10	ZR	ZR	0.116821901
D10	ZR	NF	0.185469971
D10	ZR	NF	0.096324623
D10	ZR	NF	0.132017765
D10	ZR	OF	0.115817244
D10	ZR	OF	0.063965211
D10	ZR	OF	0.046273516
D10	ZR	OH	0.069193719
D10	ZR	OH	0.045702551
D10	ZR	OH	0.072264547
D10	ZR	OR	0.04998889
D10	ZR	OR	0.075614627
D10	ZR	OR	0.048665675
D10	ZR	ZF	0.046627533
D10	ZR	ZF	0.032002622
D10	ZR	ZF	0.14332459
D10	ZR	ZH	0.129449694
D10	ZR	ZH	0.10363982
D10	ZR	ZH	0.127778033
D10	ZR	ZR	0.040279456
D10	ZR	ZR	0.116821901
