feature	Condition1	Condition2	PercentChange	p	p.format
Relative Abundance: Firmicutes	NF	OF	-23.9% [-36.7%, -8.4%] **	0.004	0.004
Relative Abundance: Bacteroidetes	NF	OF	96.9% [47.6%, 162.6%] ***	< 0.001	0.001
Relative Abundance: Actinobacteria	NF	OF	-22.7% [-41.4%, 1.9%]	0.067	0.067
Relative Abundance: Other Bacteria	NF	OF	65.4% [15.9%, 136.1%] **	0.006	0.006
Relative Abundance: Viruses	NF	OF	-43.7% [-65.9%, -7.1%] *	0.025	0.025
Relative Abundance: Fungi	NF	OF	-29.0% [-51.1%, 3.1%]	0.072	0.072
Relative Abundance: Unclassified + Root	NF	OF	-5.4% [-18.9%, 10.4%]	0.48	0.48
Relative Abundance: Unclassified	NF	OF	-5.3% [-18.8%, 10.4%]	0.485	0.485
Richness 0.01%	NF	OF	-7.7% [-17.4%, 3.2%]	0.159	0.159
Shannon Entropy	NF	OF	-1.5% [-13.0%, 11.6%]	0.817	0.817
Inv Simpson	NF	OF	-7.3% [-30.3%, 23.2%]	0.599	0.599
Relative Abundance: Firmicutes	NF	ZF	-20.9% [-33.6%, -5.8%] **	0.009	0.009
Relative Abundance: Bacteroidetes	NF	ZF	99.6% [39.0%, 186.6%] ***	< 0.001	0.001
Relative Abundance: Actinobacteria	NF	ZF	-47.3% [-64.6%, -21.6%] **	0.002	0.002
Relative Abundance: Other Bacteria	NF	ZF	42.0% [-10.5%, 125.2%]	0.136	0.136
Relative Abundance: Viruses	NF	ZF	-69.8% [-86.0%, -34.8%] **	0.002	0.002
Relative Abundance: Fungi	NF	ZF	-55.9% [-78.6%, -9.3%] *	0.026	0.026
Relative Abundance: Unclassified + Root	NF	ZF	10.1% [-19.4%, 50.2%]	0.546	0.546
Relative Abundance: Unclassified	NF	ZF	10.8% [-18.7%, 50.8%]	0.517	0.517
Richness 0.01%	NF	ZF	-10.1% [-29.0%, 14.0%]	0.38	0.38
Shannon Entropy	NF	ZF	1.0% [-10.1%, 13.4%]	0.868	0.868
Inv Simpson	NF	ZF	-4.6% [-27.8%, 26.1%]	0.741	0.741
Relative Abundance: Firmicutes	OF	OR	-19.5% [-38.1%, 4.6%]	0.105	0.105
Relative Abundance: Bacteroidetes	OF	OR	-18.3% [-39.0%, 9.4%]	0.175	0.175
Relative Abundance: Actinobacteria	OF	OR	148.6% [67.5%, 268.9%] ***	< 0.001	0.001
Relative Abundance: Other Bacteria	OF	OR	15.9% [-28.6%, 88.2%]	0.55	0.55
Relative Abundance: Viruses	OF	OR	161.9% [2.8%, 567.6%] *	0.044	0.044
Relative Abundance: Fungi	OF	OR	519.2% [240.1%, 1027.2%] ***	< 0.001	0.001
Relative Abundance: Unclassified + Root	OF	OR	10.4% [-6.3%, 30.0%]	0.238	0.238
Relative Abundance: Unclassified	OF	OR	8.4% [-7.6%, 27.3%]	0.321	0.321
Richness 0.01%	OF	OR	69.9% [33.1%, 117.0%] ***	< 0.001	0.001
Shannon Entropy	OF	OR	10.7% [-1.6%, 24.4%]	0.09	0.09
Inv Simpson	OF	OR	3.8% [-22.0%, 38.1%]	0.799	0.799
Relative Abundance: Firmicutes	ZF	ZR	-23.9% [-36.9%, -8.2%] **	0.004	0.004
Relative Abundance: Bacteroidetes	ZF	ZR	15.2% [-5.8%, 40.9%]	0.168	0.168
Relative Abundance: Actinobacteria	ZF	ZR	-8.6% [-31.4%, 21.8%]	0.541	0.541
Relative Abundance: Other Bacteria	ZF	ZR	25.1% [10.3%, 41.8%] ***	< 0.001	0.001
Relative Abundance: Viruses	ZF	ZR	31.7% [-7.8%, 88.0%]	0.13	0.13
Relative Abundance: Fungi	ZF	ZR	12.3% [3.2%, 22.1%] **	0.007	0.007
Relative Abundance: Unclassified + Root	ZF	ZR	-2.2% [-9.7%, 6.0%]	0.593	0.593
Relative Abundance: Unclassified	ZF	ZR	-2.3% [-9.9%, 6.0%]	0.577	0.577
Richness 0.01%	ZF	ZR	-2.3% [-10.1%, 6.1%]	0.578	0.578
Shannon Entropy	ZF	ZR	-7.5% [-14.4%, 0.0%]	0.051	0.051
Inv Simpson	ZF	ZR	-18.9% [-33.1%, -1.7%] *	0.033	0.033
Relative Abundance: Firmicutes	ZF	ZH	-58.5% [-72.5%, -37.5%] ***	< 0.001	0.001
Relative Abundance: Bacteroidetes	ZF	ZH	103.9% [66.5%, 149.7%] ***	< 0.001	0.001
Relative Abundance: Actinobacteria	ZF	ZH	-53.6% [-75.9%, -10.7%] *	0.021	0.021
Relative Abundance: Other Bacteria	ZF	ZH	68.5% [30.9%, 117.0%] ***	< 0.001	0.001
Relative Abundance: Viruses	ZF	ZH	18.0% [-29.9%, 98.9%]	< 0.001	0.001
Relative Abundance: Fungi	ZF	ZH	230.2% [103.2%, 436.7%] ***	0	0
Relative Abundance: Unclassified + Root	ZF	ZH	-33.9% [-49.4%, -13.6%] **	0.002	0.002
Relative Abundance: Unclassified	ZF	ZH	-35.3% [-50.9%, -14.9%] **	0.002	0.002
Richness 0.01%	ZF	ZH	-1.1% [-18.0%, 19.4%]	0.912	0.912
Shannon Entropy	ZF	ZH	-29.9% [-44.7%, -11.1%] **	0.003	0.003
Inv Simpson	ZF	ZH	-48.0% [-62.7%, -27.4%] ***	< 0.001	0.001
Actinobacteria: Cutibacterium	NF	OF	-74.6% [-84.7%, -57.8%] *	0	0
Actinobacteria: Corynebacterium	NF	OF	-54.4% [-65.4%, -40.0%] *	0	0
Actinobacteria: Enterorhabdus	NF	OF	111.9% [41.5%, 217.3%] *	0	0
Actinobacteria: Eggerthella	NF	OF	-32.6% [-52.6%, -4.1%] *	0	0
Actinobacteria: Bifidobacterium	NF	OF	-50.9% [-68.1%, -24.2%] *	0	0
Actinobacteria: Collinsella	NF	OF	-41.2% [-61.6%, -9.9%] *	0	0
Bacteroidetes: unclassified Rikenellaceae	NF	OF	24.8% [-25.3%, 108.6%]	1	1
Bacteroidetes: Odoribacter	NF	OF	279.1% [171.6%, 429.1%] *	0	0
Bacteroidetes: Parabacteroides	NF	OF	140.5% [42.4%, 306.1%] *	0	0
Bacteroidetes: Prevotella	NF	OF	54.9% [18.0%, 103.3%] *	0	0
Bacteroidetes: Alistipes	NF	OF	50.5% [-1.3%, 129.5%]	1	1
Bacteroidetes: Bacteroides	NF	OF	138.2% [76.8%, 220.8%] *	0	0
Basidiomycota: Malassezia	NF	OF	-63.8% [-79.5%, -36.0%] *	0	0
Firmicutes: Staphylococcus	NF	OF	-48.9% [-68.5%, -17.0%] *	0	0
Firmicutes: Weissella	NF	OF	-57.6% [-72.8%, -33.8%] *	0	0
Firmicutes: Lachnospiraceae: environmental sam...	NF	OF	-16.7% [-36.0%, 8.3%]	1	1
