feature	Condition	prediction	CI_low	CI_high
Relative Abundance: Firmicutes	NF	0.439773628	0.345834519	0.559229437
Relative Abundance: Firmicutes	OF	0.33470939	0.26859593	0.417096326
Relative Abundance: Firmicutes	OR	0.269450156	0.198213127	0.366289497
Relative Abundance: Firmicutes	ZF	0.347926142	0.275015487	0.440166484
Relative Abundance: Firmicutes	ZR	0.264923555	0.205625435	0.341322025
Relative Abundance: Firmicutes	ZH	0.144320844	0.105296757	0.197807668
Relative Abundance: Bacteroidetes	NF	0.139275023	0.107488218	0.180461937
Relative Abundance: Bacteroidetes	OF	0.27421246	0.217793481	0.345246667
Relative Abundance: Bacteroidetes	OR	0.223985111	0.145750594	0.344213553
Relative Abundance: Bacteroidetes	ZF	0.27801428	0.205484024	0.376145739
Relative Abundance: Bacteroidetes	ZR	0.320314213	0.243049642	0.422140902
Relative Abundance: Bacteroidetes	ZH	0.566862446	0.4712353	0.681895079
Relative Abundance: Actinobacteria	NF	0.024934309	0.014165135	0.043890848
Relative Abundance: Actinobacteria	OF	0.019272748	0.011216037	0.03311676
Relative Abundance: Actinobacteria	OR	0.047906422	0.030363274	0.075585565
Relative Abundance: Actinobacteria	ZF	0.013141803	0.007723788	0.0223604
Relative Abundance: Actinobacteria	ZR	0.012016176	0.007140089	0.020222223
Relative Abundance: Actinobacteria	ZH	0.00609877	0.00443576	0.008385259
Relative Abundance: Other Bacteria	NF	0.035748769	0.026004552	0.04914426
Relative Abundance: Other Bacteria	OF	0.05914229	0.037054719	0.094395815
Relative Abundance: Other Bacteria	OR	0.068568418	0.051829995	0.090712491
Relative Abundance: Other Bacteria	ZF	0.050762242	0.03079994	0.08366267
Relative Abundance: Other Bacteria	ZR	0.063479099	0.037434019	0.107645297
Relative Abundance: Other Bacteria	ZH	0.085554424	0.057105293	0.128176552
Relative Abundance: Viruses	NF	0.016645529	0.00301264	0.091970362
Relative Abundance: Viruses	OF	0.00936994	0.001472402	0.059627581
Relative Abundance: Viruses	OR	0.02454197	0.005763765	0.104499117
Relative Abundance: Viruses	ZF	0.005028425	0.000985649	0.025653214
Relative Abundance: Viruses	ZR	0.006620439	0.001321009	0.033179336
Relative Abundance: Viruses	ZH	0.005936048	0.001740709	0.020242713
Relative Abundance: Fungi	NF	0.003929738	0.002600788	0.005937755
Relative Abundance: Fungi	OF	0.002790052	0.001707038	0.004560174
Relative Abundance: Fungi	OR	0.017275678	0.011829356	0.025229527
Relative Abundance: Fungi	ZF	0.001732104	0.000908615	0.003301933
Relative Abundance: Fungi	ZR	0.001944802	0.001022377	0.003699472
Relative Abundance: Fungi	ZH	0.005720166	0.003858349	0.008480389
Relative Abundance: Unclassified + Root	NF	0.090154972	0.069066459	0.11768258
Relative Abundance: Unclassified + Root	OF	0.085294379	0.059572483	0.122122342
Relative Abundance: Unclassified + Root	OR	0.094135659	0.066022126	0.134220493
Relative Abundance: Unclassified + Root	ZF	0.099232334	0.059109538	0.166589968
Relative Abundance: Unclassified + Root	ZR	0.097082898	0.058030668	0.162415657
