feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Actinobacteria..201174.	Temperature	Hot	-1.69393216931932	0.393527911393147	90	89	4.81448595707242e-05	0.00134805606798028
Bacteroidetes	Temperature	Hot	8.09539456874509	2.16180611270447	90	89	0.000343942843903265	0.00321013320976381
Proteobacteria	Temperature	Hot	0.420619008581176	0.109922661294636	90	89	0.000260607763609477	0.00321013320976381
Firmicutes	Temperature	Hot	-6.89423672435225	2.13745143495244	90	90	0.00183859823447003	0.0128701876412902
Ascomycota	Temperature	Hot	0.00763535874583346	0.00244576127499014	90	89	0.00252070137687988	0.013182745453885
Tenericutes	Temperature	Hot	0.0100685553412512	0.00326483687138728	90	89	0.0028248740258325	0.013182745453885
Bacteroidetes	Temperature	Room Temp	6.34960655761992	2.16180611270447	90	89	0.00435244721729249	0.01740978886917
Firmicutes	Temperature	Room Temp	-6.0759956439751	2.13745143495244	90	90	0.00570839760171449	0.0183885363223741
Lentisphaerae	Temperature	Hot	0.0252071301907469	0.00890600201307458	90	77	0.00591060096076311	0.0183885363223741
Mucoromycota	Temperature	Hot	0.00163373141341487	0.000594430225607482	90	89	0.00743708876944645	0.0208238485544501
Euryarchaeota	Temperature	Hot	-0.00323339665470321	0.00132353777018684	90	89	0.0168263835556932	0.0428307945054008
Basidiomycota	Temperature	Hot	0.00143374808782337	0.000618792133985198	90	89	0.0231280569709209	0.053965466265482
Proteobacteria	Temperature	Room Temp	0.22732477777383	0.109922661294636	90	89	0.041950928806004	0.0903558466590856
Candidatus.Melainabacteria	Temperature	Hot	0.0128683789427424	0.00645442304592325	90	89	0.049677178258077	0.0993543565161539
Lentisphaerae	Temperature	Room Temp	0.0158729195183872	0.00890600201307458	90	77	0.0785963760818524	0.146713235352791
Euryarchaeota	Temperature	Room Temp	-0.00223333731501534	0.00132353777018684	90	89	0.0955218446571277	0.167163228149973
Candidatus.Melainabacteria	Temperature	Room Temp	0.00930145793559625	0.00645442304592325	90	89	0.153559497903221	0.252921525958247
Actinobacteria..201174.	Temperature	Room Temp	-0.538757531486191	0.393527911393147	90	89	0.174914652873284	0.272089460025109
Ascomycota	Temperature	Room Temp	0.00313507040777679	0.00244576127499014	90	89	0.203696526912977	0.300184355450704
Tenericutes	Temperature	Room Temp	0.00380167269602867	0.00326483687138728	90	89	0.247799132708273	0.346918785791582
Basidiomycota	Temperature	Room Temp	0.000533705422431696	0.000618792133985198	90	89	0.391059007297283	0.497731137230334
Chloroflexi	Temperature	Room Temp	0.000300198711422097	0.000348069709747796	90	89	0.391074464966691	0.497731137230334
Verrucomicrobia	Temperature	Hot	0.0150076960960831	0.0209350359433699	90	89	0.475595564309885	0.552140198263578
Acidobacteria	Temperature	Room Temp	0.000166785360171966	0.000242089033802938	90	89	0.492903880115248	0.552140198263578
Acidobacteria	Temperature	Hot	0.000166755020107215	0.000242089033802938	90	89	0.492982319878195	0.552140198263578
Mucoromycota	Temperature	Room Temp	0.000366948402297753	0.000594430225607482	90	89	0.53882748379355	0.58027575177767
Chloroflexi	Temperature	Hot	0.000200137365006097	0.000348069709747796	90	89	0.566951481962698	0.587949684998353
Verrucomicrobia	Temperature	Room Temp	0.00374230510070647	0.0209350359433699	90	89	0.858591226700981	0.858591226700981
