2022-01-19 12:04:07 INFO::Writing function arguments to log file
2022-01-19 12:04:07 DEBUG::Function arguments
2022-01-19 12:04:07 DEBUG::Output folder: /Users/maidvorak/scg4/projects/benchmark/Benchmarking/DNA/3.maaslin
2022-01-19 12:04:07 DEBUG::Min Abundance: 0.010000
2022-01-19 12:04:07 DEBUG::Min Prevalence: 0.100000
2022-01-19 12:04:07 DEBUG::Normalization: NONE
2022-01-19 12:04:07 DEBUG::Transform: NONE
2022-01-19 12:04:07 DEBUG::Analysis method: LM
2022-01-19 12:04:07 DEBUG::Max significance: 0.250000
2022-01-19 12:04:07 DEBUG::Random effects: Donor
2022-01-19 12:04:07 DEBUG::Fixed effects: Kit,Temperature
2022-01-19 12:04:07 DEBUG::Correction method: BH
2022-01-19 12:04:07 DEBUG::Standardize: FALSE
2022-01-19 12:04:07 DEBUG::Cores: 1
2022-01-19 12:04:07 INFO::Verifying options selected are valid
2022-01-19 12:04:07 INFO::Determining format of input files
2022-01-19 12:04:07 INFO::Input format is data samples as rows and metadata samples as rows
2022-01-19 12:04:07 DEBUG::The following samples were found to have features but no metadata. They will be removed. NCO.B2.R1,PCO.B1.R3,NCO.B3.R2,NCO.B4.R2,NCO.B3.R3,NCO.B2.R2,PCO.B1.R2,PCO.B4.R1,PCO.B2.R3,NCO.B4.R3,PCO.B3.R2,NCO.B4.R1,PCO.B2.R2,NCO.B2.R3,NCO.B1.R1,PCO.B4.R3,PCO.B4.R2,PCO.B1.R1,NCO.B1.R3,PCO.B3.R3,PCO.B3.R1,NCO.B3.R1,NCO.B1.R2,PCO.B2.R1
2022-01-19 12:04:07 DEBUG::A total of 210 samples were found in both the data and metadata
2022-01-19 12:04:07 DEBUG::Reordering data/metadata to use same sample ordering
2022-01-19 12:04:07 INFO::Formula for random effects: expr ~ (1 | Donor)
2022-01-19 12:04:07 INFO::Formula for fixed effects: expr ~  Kit + Temperature
2022-01-19 12:04:07 INFO::Filter data based on min abundance and min prevalence
2022-01-19 12:04:07 INFO::Total samples in data: 210
2022-01-19 12:04:07 INFO::Min samples required with min abundance for a feature not to be filtered: 21.000000
2022-01-19 12:04:07 INFO::Total filtered features: 392
2022-01-19 12:04:07 INFO::Filtered feature names from abundance and prevalence filtering:
2022-01-19 12:04:07 INFO::Total filtered features with variance filtering: 0
2022-01-19 12:04:07 INFO::Filtered feature names from variance filtering:
2022-01-19 12:04:07 INFO::Running selected normalization method: NONE
2022-01-19 12:04:07 INFO::Bypass z-score application to metadata
2022-01-19 12:04:07 INFO::Running selected transform method: NONE
2022-01-19 12:04:07 INFO::Running selected analysis method: LM
2022-01-19 12:04:08 INFO::Fitting model to feature number 1, Bacteroides
2022-01-19 12:04:08 INFO::Fitting model to feature number 2, Faecalibacterium
2022-01-19 12:04:08 INFO::Fitting model to feature number 3, Ruminococcus
2022-01-19 12:04:08 INFO::Fitting model to feature number 4, Blautia
2022-01-19 12:04:08 INFO::Fitting model to feature number 5, Alistipes
2022-01-19 12:04:08 INFO::Fitting model to feature number 6, Clostridium
2022-01-19 12:04:09 INFO::Fitting model to feature number 7, unclassified.Lachnospiraceae
2022-01-19 12:04:09 INFO::Fitting model to feature number 8, Prevotella
2022-01-19 12:04:09 INFO::Fitting model to feature number 9, Parabacteroides
2022-01-19 12:04:09 INFO::Fitting model to feature number 10, Bifidobacterium
2022-01-19 12:04:09 INFO::Fitting model to feature number 11, unclassified.Ruminococcaceae
2022-01-19 12:04:09 INFO::Fitting model to feature number 12, Eubacterium
2022-01-19 12:04:09 INFO::Fitting model to feature number 13, Roseburia
2022-01-19 12:04:09 INFO::Fitting model to feature number 14, unclassified.Clostridiales..miscellaneous.
2022-01-19 12:04:09 INFO::Fitting model to feature number 15, Coprococcus
2022-01-19 12:04:09 INFO::Fitting model to feature number 16, Pseudomonas
2022-01-19 12:04:09 INFO::Fitting model to feature number 17, Collinsella
2022-01-19 12:04:10 INFO::Fitting model to feature number 18, Oscillibacter
2022-01-19 12:04:10 INFO::Fitting model to feature number 19, Firmicutes..environmental.samples
2022-01-19 12:04:10 INFO::Fitting model to feature number 20, Dorea
2022-01-19 12:04:10 INFO::Fitting model to feature number 21, Escherichia
2022-01-19 12:04:10 INFO::Fitting model to feature number 22, unclassified.Firmicutes.sensu.stricto..miscellaneous.
2022-01-19 12:04:10 INFO::Fitting model to feature number 23, Anaerostipes
2022-01-19 12:04:10 INFO::Fitting model to feature number 24, unclassified.Clostridiaceae
2022-01-19 12:04:10 INFO::Fitting model to feature number 25, Megamonas
2022-01-19 12:04:10 INFO::Fitting model to feature number 26, Subdoligranulum
2022-01-19 12:04:10 INFO::Fitting model to feature number 27, Enterococcus
2022-01-19 12:04:11 INFO::Fitting model to feature number 28, Staphylococcus
2022-01-19 12:04:11 INFO::Fitting model to feature number 29, Gemmiger
2022-01-19 12:04:11 INFO::Fitting model to feature number 30, Fusicatenibacter
2022-01-19 12:04:11 INFO::Fitting model to feature number 31, Ruthenibacterium
2022-01-19 12:04:11 INFO::Fitting model to feature number 32, Dialister
2022-01-19 12:04:11 INFO::Fitting model to feature number 33, Butyricicoccus
2022-01-19 12:04:11 INFO::Fitting model to feature number 34, Lachnoclostridium
2022-01-19 12:04:11 INFO::Fitting model to feature number 35, Odoribacter
2022-01-19 12:04:11 INFO::Fitting model to feature number 36, unclassified.Oscillospiraceae
2022-01-19 12:04:11 INFO::Fitting model to feature number 37, Bacillus
2022-01-19 12:04:11 INFO::Fitting model to feature number 38, Azospirillum
2022-01-19 12:04:12 INFO::Fitting model to feature number 39, Sutterella
2022-01-19 12:04:12 INFO::Fitting model to feature number 40, Streptococcus
2022-01-19 12:04:12 INFO::Fitting model to feature number 41, Coprobacillus
2022-01-19 12:04:12 INFO::Fitting model to feature number 42, Clostridiales..environmental.samples
2022-01-19 12:04:12 INFO::Fitting model to feature number 43, unclassified.Bacteroidaceae
2022-01-19 12:04:12 INFO::Fitting model to feature number 44, Anaerobutyricum
2022-01-19 12:04:12 INFO::Fitting model to feature number 45, Flavonifractor
2022-01-19 12:04:12 INFO::Fitting model to feature number 46, Phascolarctobacterium
2022-01-19 12:04:12 INFO::Fitting model to feature number 47, Lachnospira
2022-01-19 12:04:12 INFO::Fitting model to feature number 48, Barnesiella
2022-01-19 12:04:12 INFO::Fitting model to feature number 49, unclassified.Erysipelotrichaceae
2022-01-19 12:04:13 INFO::Fitting model to feature number 50, Lactobacillus
2022-01-19 12:04:13 INFO::Fitting model to feature number 51, Mitsuokella
2022-01-19 12:04:13 INFO::Fitting model to feature number 52, Akkermansia
2022-01-19 12:04:13 INFO::Fitting model to feature number 53, Bilophila
2022-01-19 12:04:13 INFO::Fitting model to feature number 54, Butyrivibrio
2022-01-19 12:04:13 INFO::Fitting model to feature number 55, Clostridioides
2022-01-19 12:04:13 INFO::Fitting model to feature number 56, Lachnospiraceae..environmental.samples
2022-01-19 12:04:13 INFO::Fitting model to feature number 57, Eggerthella
2022-01-19 12:04:13 INFO::Fitting model to feature number 58, unclassified.Coriobacteriaceae
2022-01-19 12:04:13 INFO::Fitting model to feature number 59, crAss.like.viruses
