taxa	n.pos	n.neg	rab.all	rab.win.Flex	rab.win.XT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	abs.effect
Pseudomonas aeruginosa	30	10	-3.37	-3.865	-3.272	0.6652	2.129	0.21	0.337	0.7291	0.9954	0.1394	0.9249	0.21
Sutterella wadsworthensis	30	10	-3.873	-5.275	-3.583	0.4578	7.671	0.05156	0.4384	0.8118	0.9954	0.6312	0.925	0.05156
Akkermansia muciniphila	30	10	-2.843	-2.559	-2.843	-0.1554	5.065	-0.02276	0.4789	0.8521	0.9954	0.7945	0.9353	0.02276
Firmicutes bacterium CAG:94	30	10	-3.741	-3.249	-4.03	-0.2959	4.897	-0.05988	0.4618	0.734	0.9954	0.6028	0.9249	0.05988
uncultured Clostridium sp.	30	10	3.299	3.332	3.292	-0.1006	0.8055	-0.1199	0.4375	0.6539	0.9954	0.6479	0.9252	0.1199
Clostridium sp. CAG:138	30	10	-5.442	-5.115	-5.533	-0.3511	3.066	-0.06795	0.4181	0.9505	0.9954	0.442	0.9249	0.06795
Clostridium sp. CAG:356	30	10	-8.571	-7.136	-8.807	-0.6774	7.436	-0.09319	0.4197	0.596	0.9954	0.426	0.925	0.09319
Clostridium sp. 28_12	30	10	-10.11	-8.792	-10.39	-1.163	5.663	-0.1434	0.4259	0.5727	0.9954	0.4946	0.9251	0.1434
Butyrivibrio crossotus	30	10	-2.93	-2.628	-3.006	-0.1415	1.005	-0.07448	0.3916	0.8534	0.9954	0.3319	0.9249	0.07448
Roseburia intestinalis	30	10	2.486	2.537	2.471	-0.09197	4.017	-0.02458	0.4743	0.9418	0.9954	0.8504	0.9442	0.02458
Roseburia inulinivorans	30	10	0.8089	0.8969	0.7986	-0.1423	2.954	-0.05688	0.4633	0.8267	0.9954	0.7845	0.9357	0.05688
Roseburia sp. CAG:50	30	10	-0.2638	-0.07859	-0.2946	-0.1945	5.406	-0.0358	0.4587	0.8434	0.9954	0.673	0.9255	0.0358
Coprococcus eutactus	30	10	-1.743	-1.673	-1.8	-0.1258	3.211	-0.03124	0.4469	0.9712	0.9954	0.5673	0.9249	0.03124
Coprococcus catus	30	10	2.293	2.392	2.219	-0.1277	1.767	-0.05514	0.4774	0.7679	0.9954	0.8166	0.9404	0.05514
