Feature,group1,group2,p,p.adj,p.format,p.signif,method
BrayCurtisWithinCondition,OF,NF,0.68,0.68,0.68,,NA
BrayCurtisWithinCondition,OR,NF,0.47,0.47,0.47,,NA
BrayCurtisWithinCondition,OH,NF,0.18,0.18,0.18,,NA
BrayCurtisWithinCondition,ZF,NF,0.67,0.67,0.67,,NA
BrayCurtisWithinCondition,ZR,NF,0.18,0.18,0.18,,NA
BrayCurtisWithinCondition,ZH,NF,0.23,0.23,0.23,,NA
BrayCurtisBetweenKits,OF_NF,NF_NF,< 0.001,0.001,0.001,***,NA
BrayCurtisBetweenKits,ZF_NF,NF_NF,< 0.001,0.001,0.001,***,NA
BrayCurtisBetweenTemps,OF_OR,OF_OF,0.18,0.18,0.18,,NA
BrayCurtisBetweenTemps,OF_OH,OF_OF,0.005,0.005,0.005,**,NA
BrayCurtisBetweenTemps,ZF_ZR,ZF_ZF,0.04,0.04,0.04,*,NA
BrayCurtisBetweenTemps,ZF_ZH,ZF_ZF,0.004,0.004,0.004,**,NA
